<amplicon ID>	<chr>	<Base position start/CpG start>	<Base position end/CpG end>	<Methylation pattern>	<count>	<raw cpg sites>		SumCounts	SumDiversity
BRCA1_122	chr17	41277382	41277445	100010	1	"((41277382, 0), (41277390, 0), (41277393, 0), (41277395, 1), (41277401, 0), (41277427, 0), (41277429, 0), (41277437, 1), (41277445, 0))"	1		
BRCA1_122	chr17	41277382	41277445	0010-0000	1	"((41277382, 0), (41277390, 0), (41277393, 1), (41277395, 0), (41277427, 0), (41277429, 0), (41277437, 0), (41277445, 0))"	1		
BRCA1_122	chr17	41277382	41277445	1000000	6	"((41277382, 0), (41277390, 0), (41277393, 1), (41277395, 0), (41277401, 0), (41277427, 0), (41277429, 0), (41277437, 0), (41277445, 0))"	1		
BRCA1_122	chr17	41277382	41277445	1001100	2	"((41277382, 0), (41277390, 0), (41277393, 1), (41277395, 0), (41277401, 0), (41277427, 1), (41277429, 1), (41277437, 0), (41277445, 0))"	1		
BRCA1_122	chr17	41277382	41277445	100000000	2	"((41277382, 1), (41277390, 0), (41277393, 0), (41277395, 0), (41277401, 0), (41277427, 0), (41277429, 0), (41277437, 0), (41277445, 0))"	1		
CDH1_3'_124	chr16	68771254	68771304	0000000001-	1	"((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 0), (68771284, 0), (68771287, 0), (68771297, 0), (68771301, 0), (68771304, 1))"	1		
CDH1_3'_124	chr16	68771254	68771310	00000-00000	1	"((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 0), (68771287, 0), (68771297, 0), (68771301, 0), (68771304, 0), (68771310, 0))"	1		
CDH1_3'_124	chr16	68771254	68771310	000000-0000	2	"((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 0), (68771284, 0), (68771297, 0), (68771301, 0), (68771304, 0), (68771310, 0))"	1		
CDH1_3'_124	chr16	68771254	68771310	00000000-00	1	"((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 0), (68771284, 0), (68771287, 0), (68771297, 0), (68771304, 0), (68771310, 0))"	1		
CDH1_3'_124	chr16	68771254	68771310	000000000-0	1	"((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 0), (68771284, 0), (68771287, 0), (68771297, 0), (68771301, 0), (68771310, 0))"	1		
CDH1_3'_124	chr16	68771254	68771310	0	1856	"((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 0), (68771284, 0), (68771287, 0), (68771297, 0), (68771301, 0), (68771304, 0), (68771310, 0))"	1		
CDH1_3'_124	chr16	68771254	68771310	1	11	"((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 0), (68771284, 0), (68771287, 0), (68771297, 0), (68771301, 0), (68771304, 0), (68771310, 1))"	1		
CDH1_3'_124	chr16	68771254	68771310	10	16	"((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 0), (68771284, 0), (68771287, 0), (68771297, 0), (68771301, 0), (68771304, 1), (68771310, 0))"	1		
CDH1_3'_124	chr16	68771254	68771310	11	22	"((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 0), (68771284, 0), (68771287, 0), (68771297, 0), (68771301, 0), (68771304, 1), (68771310, 1))"	1		
CDH1_3'_124	chr16	68771254	68771310	100	14	"((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 0), (68771284, 0), (68771287, 0), (68771297, 0), (68771301, 1), (68771304, 0), (68771310, 0))"	1		
CDH1_3'_124	chr16	68771254	68771310	101	3	"((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 0), (68771284, 0), (68771287, 0), (68771297, 0), (68771301, 1), (68771304, 0), (68771310, 1))"	1		
CDH1_3'_124	chr16	68771254	68771310	110	1	"((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 0), (68771284, 0), (68771287, 0), (68771297, 0), (68771301, 1), (68771304, 1), (68771310, 0))"	1		
CDH1_3'_124	chr16	68771254	68771310	111	2	"((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 0), (68771284, 0), (68771287, 0), (68771297, 0), (68771301, 1), (68771304, 1), (68771310, 1))"	1		
CDH1_3'_124	chr16	68771254	68771310	1000	21	"((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 0), (68771284, 0), (68771287, 0), (68771297, 1), (68771301, 0), (68771304, 0), (68771310, 0))"	1		
CDH1_3'_124	chr16	68771254	68771310	1001	5	"((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 0), (68771284, 0), (68771287, 0), (68771297, 1), (68771301, 0), (68771304, 0), (68771310, 1))"	1		
CDH1_3'_124	chr16	68771254	68771310	1010	3	"((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 0), (68771284, 0), (68771287, 0), (68771297, 1), (68771301, 0), (68771304, 1), (68771310, 0))"	1		
CDH1_3'_124	chr16	68771254	68771310	10000	28	"((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 0), (68771284, 0), (68771287, 1), (68771297, 0), (68771301, 0), (68771304, 0), (68771310, 0))"	1		
CDH1_3'_124	chr16	68771254	68771310	100000	31	"((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 0), (68771284, 1), (68771287, 0), (68771297, 0), (68771301, 0), (68771304, 0), (68771310, 0))"	1		
CDH1_3'_124	chr16	68771254	68771310	1000000	51	"((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 1), (68771284, 0), (68771287, 0), (68771297, 0), (68771301, 0), (68771304, 0), (68771310, 0))"	1		
CDH1_3'_124	chr16	68771254	68771310	1000011	2	"((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 1), (68771284, 0), (68771287, 0), (68771297, 0), (68771301, 0), (68771304, 1), (68771310, 1))"	1		
CDH1_3'_124	chr16	68771254	68771310	1010000	7	"((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 1), (68771284, 0), (68771287, 1), (68771297, 0), (68771301, 0), (68771304, 0), (68771310, 0))"	1		
CDH1_3'_124	chr16	68771254	68771310	1110000	3	"((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 0), (68771301, 0), (68771304, 0), (68771310, 0))"	1		
CDH1_3'_124	chr16	68771254	68771310	1110010	1	"((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 0), (68771301, 0), (68771304, 1), (68771310, 0))"	1		
CDH1_3'_124	chr16	68771254	68771310	1110110	1	"((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 0), (68771301, 1), (68771304, 1), (68771310, 0))"	1		
CDH1_3'_124	chr16	68771254	68771310	1111010	6	"((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 0), (68771304, 1), (68771310, 0))"	1		
CDH1_3'_124	chr16	68771254	68771310	10000000	16	"((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 1), (68771278, 0), (68771284, 0), (68771287, 0), (68771297, 0), (68771301, 0), (68771304, 0), (68771310, 0))"	1		
CDH1_3'_124	chr16	68771254	68771310	11000000	1	"((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 1), (68771278, 1), (68771284, 0), (68771287, 0), (68771297, 0), (68771301, 0), (68771304, 0), (68771310, 0))"	1		
CDH1_3'_124	chr16	68771254	68771310	11110001	1	"((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 1), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 0), (68771301, 0), (68771304, 0), (68771310, 1))"	1		
CDH1_3'_124	chr16	68771254	68771310	1000000000	35	"((68771254, 0), (68771264, 1), (68771269, 0), (68771274, 0), (68771278, 0), (68771284, 0), (68771287, 0), (68771297, 0), (68771301, 0), (68771304, 0), (68771310, 0))"	1		
CDH1_3'_124	chr16	68771254	68771310	1001000000	1	"((68771254, 0), (68771264, 1), (68771269, 0), (68771274, 0), (68771278, 1), (68771284, 0), (68771287, 0), (68771297, 0), (68771301, 0), (68771304, 0), (68771310, 0))"	1		
CDH1_3'_124	chr16	68771254	68771310	10000000000	10	"((68771254, 1), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 0), (68771284, 0), (68771287, 0), (68771297, 0), (68771301, 0), (68771304, 0), (68771310, 0))"	1		
CDH1_3'_124	chr16	68771254	68771310	10000000001	7	"((68771254, 1), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 0), (68771284, 0), (68771287, 0), (68771297, 0), (68771301, 0), (68771304, 0), (68771310, 1))"	1		
CDH1_3'_124	chr16	68771254	68771310	100000001-0	1	"((68771254, 1), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 0), (68771284, 0), (68771287, 0), (68771297, 0), (68771301, 1), (68771310, 0))"	1		
CDH1_3'_124	chr16	68771254	68771310	10000000110	9	"((68771254, 1), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 0), (68771284, 0), (68771287, 0), (68771297, 0), (68771301, 1), (68771304, 1), (68771310, 0))"	1		
CDH1_3'_124	chr16	68771254	68771310	10000010000	4	"((68771254, 1), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 0), (68771284, 0), (68771287, 1), (68771297, 0), (68771301, 0), (68771304, 0), (68771310, 0))"	1		
CDH1_3'_124	chr16	68771254	68771310	10010000000	1	"((68771254, 1), (68771264, 0), (68771269, 0), (68771274, 1), (68771278, 0), (68771284, 0), (68771287, 0), (68771297, 0), (68771301, 0), (68771304, 0), (68771310, 0))"	1		
DAPK1_i1_124	chr9	90113593	90113658	0001000-	1	"((90113593, 0), (90113612, 0), (90113618, 0), (90113638, 1), (90113645, 0), (90113655, 0), (90113658, 0))"	1		
DAPK1_i1_124	chr9	90113593	90113658	1000000-	1	"((90113593, 1), (90113612, 0), (90113618, 0), (90113638, 0), (90113645, 0), (90113655, 0), (90113658, 0))"	1		
DAPK1_i1_124	chr9	90113593	90113664	000-0000	1	"((90113593, 0), (90113612, 0), (90113618, 0), (90113645, 0), (90113655, 0), (90113658, 0), (90113664, 0))"	1		
DAPK1_i1_124	chr9	90113593	90113664	0	259	"((90113593, 0), (90113612, 0), (90113618, 0), (90113638, 0), (90113645, 0), (90113655, 0), (90113658, 0), (90113664, 0))"	1		
DAPK1_i1_124	chr9	90113593	90113664	1	174	"((90113593, 0), (90113612, 0), (90113618, 0), (90113638, 0), (90113645, 0), (90113655, 0), (90113658, 0), (90113664, 1))"	1		
DAPK1_i1_124	chr9	90113593	90113664	10	10	"((90113593, 0), (90113612, 0), (90113618, 0), (90113638, 0), (90113645, 0), (90113655, 0), (90113658, 1), (90113664, 0))"	1		
DAPK1_i1_124	chr9	90113593	90113664	11	1	"((90113593, 0), (90113612, 0), (90113618, 0), (90113638, 0), (90113645, 0), (90113655, 0), (90113658, 1), (90113664, 1))"	1		
DAPK1_i1_124	chr9	90113593	90113664	100	6	"((90113593, 0), (90113612, 0), (90113618, 0), (90113638, 0), (90113645, 0), (90113655, 1), (90113658, 0), (90113664, 0))"	1		
DAPK1_i1_124	chr9	90113593	90113664	110	4	"((90113593, 0), (90113612, 0), (90113618, 0), (90113638, 0), (90113645, 0), (90113655, 1), (90113658, 1), (90113664, 0))"	1		
DAPK1_i1_124	chr9	90113593	90113664	111	9	"((90113593, 0), (90113612, 0), (90113618, 0), (90113638, 0), (90113645, 0), (90113655, 1), (90113658, 1), (90113664, 1))"	1		
DAPK1_i1_124	chr9	90113593	90113664	1000	9	"((90113593, 0), (90113612, 0), (90113618, 0), (90113638, 0), (90113645, 1), (90113655, 0), (90113658, 0), (90113664, 0))"	1		
DAPK1_i1_124	chr9	90113593	90113664	1001	1	"((90113593, 0), (90113612, 0), (90113618, 0), (90113638, 0), (90113645, 1), (90113655, 0), (90113658, 0), (90113664, 1))"	1		
DAPK1_i1_124	chr9	90113593	90113664	1010	1	"((90113593, 0), (90113612, 0), (90113618, 0), (90113638, 0), (90113645, 1), (90113655, 0), (90113658, 1), (90113664, 0))"	1		
DAPK1_i1_124	chr9	90113593	90113664	1110	1	"((90113593, 0), (90113612, 0), (90113618, 0), (90113638, 0), (90113645, 1), (90113655, 1), (90113658, 1), (90113664, 0))"	1		
DAPK1_i1_124	chr9	90113593	90113664	10000	497	"((90113593, 0), (90113612, 0), (90113618, 0), (90113638, 1), (90113645, 0), (90113655, 0), (90113658, 0), (90113664, 0))"	1		
DAPK1_i1_124	chr9	90113593	90113664	10001	75	"((90113593, 0), (90113612, 0), (90113618, 0), (90113638, 1), (90113645, 0), (90113655, 0), (90113658, 0), (90113664, 1))"	1		
DAPK1_i1_124	chr9	90113593	90113664	10010	9	"((90113593, 0), (90113612, 0), (90113618, 0), (90113638, 1), (90113645, 0), (90113655, 0), (90113658, 1), (90113664, 0))"	1		
DAPK1_i1_124	chr9	90113593	90113664	10110	31	"((90113593, 0), (90113612, 0), (90113618, 0), (90113638, 1), (90113645, 0), (90113655, 1), (90113658, 1), (90113664, 0))"	1		
DAPK1_i1_124	chr9	90113593	90113664	10111	16	"((90113593, 0), (90113612, 0), (90113618, 0), (90113638, 1), (90113645, 0), (90113655, 1), (90113658, 1), (90113664, 1))"	1		
DAPK1_i1_124	chr9	90113593	90113664	11000	6	"((90113593, 0), (90113612, 0), (90113618, 0), (90113638, 1), (90113645, 1), (90113655, 0), (90113658, 0), (90113664, 0))"	1		
DAPK1_i1_124	chr9	90113593	90113664	11110	4	"((90113593, 0), (90113612, 0), (90113618, 0), (90113638, 1), (90113645, 1), (90113655, 1), (90113658, 1), (90113664, 0))"	1		
DAPK1_i1_124	chr9	90113593	90113664	11111	1	"((90113593, 0), (90113612, 0), (90113618, 0), (90113638, 1), (90113645, 1), (90113655, 1), (90113658, 1), (90113664, 1))"	1		
DAPK1_i1_124	chr9	90113593	90113664	110000	2	"((90113593, 0), (90113612, 0), (90113618, 1), (90113638, 1), (90113645, 0), (90113655, 0), (90113658, 0), (90113664, 0))"	1		
DAPK1_i1_124	chr9	90113593	90113664	111001	1	"((90113593, 0), (90113612, 0), (90113618, 1), (90113638, 1), (90113645, 1), (90113655, 0), (90113658, 0), (90113664, 1))"	1		
DAPK1_i1_124	chr9	90113593	90113664	1000000	7	"((90113593, 0), (90113612, 1), (90113618, 0), (90113638, 0), (90113645, 0), (90113655, 0), (90113658, 0), (90113664, 0))"	1		
DAPK1_i1_124	chr9	90113593	90113664	1000001	1	"((90113593, 0), (90113612, 1), (90113618, 0), (90113638, 0), (90113645, 0), (90113655, 0), (90113658, 0), (90113664, 1))"	1		
DAPK1_i1_124	chr9	90113593	90113664	1000100	1	"((90113593, 0), (90113612, 1), (90113618, 0), (90113638, 0), (90113645, 0), (90113655, 1), (90113658, 0), (90113664, 0))"	1		
DAPK1_i1_124	chr9	90113593	90113664	1000110	2	"((90113593, 0), (90113612, 1), (90113618, 0), (90113638, 0), (90113645, 0), (90113655, 1), (90113658, 1), (90113664, 0))"	1		
DAPK1_i1_124	chr9	90113593	90113664	1010000	6	"((90113593, 0), (90113612, 1), (90113618, 0), (90113638, 1), (90113645, 0), (90113655, 0), (90113658, 0), (90113664, 0))"	1		
DAPK1_i1_124	chr9	90113593	90113664	1011000	1	"((90113593, 0), (90113612, 1), (90113618, 0), (90113638, 1), (90113645, 1), (90113655, 0), (90113658, 0), (90113664, 0))"	1		
DAPK1_i1_124	chr9	90113593	90113664	1011011	7	"((90113593, 0), (90113612, 1), (90113618, 0), (90113638, 1), (90113645, 1), (90113655, 0), (90113658, 1), (90113664, 1))"	1		
DAPK1_i1_124	chr9	90113593	90113664	1011100	5	"((90113593, 0), (90113612, 1), (90113618, 0), (90113638, 1), (90113645, 1), (90113655, 1), (90113658, 0), (90113664, 0))"	1		
DAPK1_i1_124	chr9	90113593	90113664	1011110	1	"((90113593, 0), (90113612, 1), (90113618, 0), (90113638, 1), (90113645, 1), (90113655, 1), (90113658, 1), (90113664, 0))"	1		
DAPK1_i1_124	chr9	90113593	90113664	1011111	1	"((90113593, 0), (90113612, 1), (90113618, 0), (90113638, 1), (90113645, 1), (90113655, 1), (90113658, 1), (90113664, 1))"	1		
DAPK1_i1_124	chr9	90113593	90113664	1100000	1	"((90113593, 0), (90113612, 1), (90113618, 1), (90113638, 0), (90113645, 0), (90113655, 0), (90113658, 0), (90113664, 0))"	1		
DAPK1_i1_124	chr9	90113593	90113664	1100010	1	"((90113593, 0), (90113612, 1), (90113618, 1), (90113638, 0), (90113645, 0), (90113655, 0), (90113658, 1), (90113664, 0))"	1		
DAPK1_i1_124	chr9	90113593	90113664	1110000	1	"((90113593, 0), (90113612, 1), (90113618, 1), (90113638, 1), (90113645, 0), (90113655, 0), (90113658, 0), (90113664, 0))"	1		
DAPK1_i1_124	chr9	90113593	90113664	1110010	12	"((90113593, 0), (90113612, 1), (90113618, 1), (90113638, 1), (90113645, 0), (90113655, 0), (90113658, 1), (90113664, 0))"	1		
DAPK1_i1_124	chr9	90113593	90113664	1110100	1	"((90113593, 0), (90113612, 1), (90113618, 1), (90113638, 1), (90113645, 0), (90113655, 1), (90113658, 0), (90113664, 0))"	1		
