<amplicon ID>	<chr>	<Base position start/CpG start>	<Base position end/CpG end>	<Methylation pattern>	<count>	<raw cpg sites>
APC_138	chr5	112073470	112073544	0000100000	94	((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 1), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))
APC_138	chr5	112073470	112073544	0000101000	26	((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 1), (112073513, 0), (112073516, 1), (112073534, 0), (112073538, 0), (112073544, 0))
APC_138	chr5	112073470	112073544	0000101010	1	((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 1), (112073513, 0), (112073516, 1), (112073534, 0), (112073538, 1), (112073544, 0))
APC_138	chr5	112073470	112073544	0001000000	13	((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 1), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))
APC_138	chr5	112073470	112073544	0010000000	66	((112073470, 0), (112073479, 0), (112073489, 1), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))
APC_138	chr5	112073470	112073544	0010000001	1	((112073470, 0), (112073479, 0), (112073489, 1), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 1))
APC_138	chr5	112073470	112073544	0010100000	1	((112073470, 0), (112073479, 0), (112073489, 1), (112073502, 0), (112073505, 1), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))
APC_138	chr5	112073470	112073544	0100000000	34	((112073470, 0), (112073479, 1), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))
APC_138	chr5	112073470	112073544	0100001000	1	((112073470, 0), (112073479, 1), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 1), (112073534, 0), (112073538, 0), (112073544, 0))
APC_138	chr5	112073470	112073544	0100010000	1	((112073470, 0), (112073479, 1), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 1), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))
APC_138	chr5	112073470	112073544	0110000000	1	((112073470, 0), (112073479, 1), (112073489, 1), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))
APC_138	chr5	112073470	112073544	1000000000	21	((112073470, 1), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))
APC_138	chr5	112073470	112073544	1000001000	1	((112073470, 1), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 1), (112073534, 0), (112073538, 0), (112073544, 0))
APC_138	chr5	112073470	112073544	1000010000	22	((112073470, 1), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 1), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))
APC_138	chr5	112073470	112073544	1000100000	1	((112073470, 1), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 1), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))
APC_138	chr5	112073470	112073544	1001000000	1	((112073470, 1), (112073479, 0), (112073489, 0), (112073502, 1), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))
APC_138	chr5	112073470	112073544	1100000000	1	((112073470, 1), (112073479, 1), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))
BRCA1_122	chr17	41277382	41277445	000000000	246	((41277382, 0), (41277390, 0), (41277393, 0), (41277395, 0), (41277401, 0), (41277427, 0), (41277429, 0), (41277437, 0), (41277445, 0))
BRCA1_122	chr17	41277382	41277445	000000010	3	((41277382, 0), (41277390, 0), (41277393, 0), (41277395, 0), (41277401, 0), (41277427, 0), (41277429, 0), (41277437, 1), (41277445, 0))
BRCA1_122	chr17	41277382	41277445	000000100	6	((41277382, 0), (41277390, 0), (41277393, 0), (41277395, 0), (41277401, 0), (41277427, 0), (41277429, 1), (41277437, 0), (41277445, 0))
BRCA1_122	chr17	41277382	41277445	000001000	4	((41277382, 0), (41277390, 0), (41277393, 0), (41277395, 0), (41277401, 0), (41277427, 1), (41277429, 0), (41277437, 0), (41277445, 0))
BRCA1_122	chr17	41277382	41277445	000010000	1	((41277382, 0), (41277390, 0), (41277393, 0), (41277395, 0), (41277401, 1), (41277427, 0), (41277429, 0), (41277437, 0), (41277445, 0))
BRCA1_122	chr17	41277382	41277445	000100000	1	((41277382, 0), (41277390, 0), (41277393, 0), (41277395, 1), (41277401, 0), (41277427, 0), (41277429, 0), (41277437, 0), (41277445, 0))
BRCA1_122	chr17	41277382	41277445	001000000	4	((41277382, 0), (41277390, 0), (41277393, 1), (41277395, 0), (41277401, 0), (41277427, 0), (41277429, 0), (41277437, 0), (41277445, 0))
BRCA1_122	chr17	41277382	41277445	010-00000	1	((41277382, 0), (41277390, 1), (41277393, 0), (41277401, 0), (41277427, 0), (41277429, 0), (41277437, 0), (41277445, 0))
BRCA1_122	chr17	41277382	41277445	010000000	8	((41277382, 0), (41277390, 1), (41277393, 0), (41277395, 0), (41277401, 0), (41277427, 0), (41277429, 0), (41277437, 0), (41277445, 0))
BRCA1_122	chr17	41277382	41277445	100000000	2	((41277382, 1), (41277390, 0), (41277393, 0), (41277395, 0), (41277401, 0), (41277427, 0), (41277429, 0), (41277437, 0), (41277445, 0))
CDH1_3'_124	chr16	68771254	68771310	-1111110111	1	((68771264, 1), (68771269, 1), (68771274, 1), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 0), (68771301, 1), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	00000000100	1	((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 0), (68771284, 0), (68771287, 0), (68771297, 0), (68771301, 1), (68771304, 0), (68771310, 0))
CDH1_3'_124	chr16	68771254	68771310	00000010000	3	((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 0), (68771284, 0), (68771287, 1), (68771297, 0), (68771301, 0), (68771304, 0), (68771310, 0))
CDH1_3'_124	chr16	68771254	68771310	00001011111	16	((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 1), (68771284, 0), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	00010000010	1	((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 1), (68771278, 0), (68771284, 0), (68771287, 0), (68771297, 0), (68771301, 0), (68771304, 1), (68771310, 0))
CDH1_3'_124	chr16	68771254	68771310	00010111110	5	((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 1), (68771278, 0), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 1), (68771310, 0))
CDH1_3'_124	chr16	68771254	68771310	00011111111	1	((68771254, 0), (68771264, 0), (68771269, 0), (68771274, 1), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	00101001100	1	((68771254, 0), (68771264, 0), (68771269, 1), (68771274, 0), (68771278, 1), (68771284, 0), (68771287, 0), (68771297, 1), (68771301, 1), (68771304, 0), (68771310, 0))
CDH1_3'_124	chr16	68771254	68771310	00110011000	1	((68771254, 0), (68771264, 0), (68771269, 1), (68771274, 1), (68771278, 0), (68771284, 0), (68771287, 1), (68771297, 1), (68771301, 0), (68771304, 0), (68771310, 0))
CDH1_3'_124	chr16	68771254	68771310	00111110111	1	((68771254, 0), (68771264, 0), (68771269, 1), (68771274, 1), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 0), (68771301, 1), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	01000010100	1	((68771254, 0), (68771264, 1), (68771269, 0), (68771274, 0), (68771278, 0), (68771284, 0), (68771287, 1), (68771297, 0), (68771301, 1), (68771304, 0), (68771310, 0))
CDH1_3'_124	chr16	68771254	68771310	01001110101	1	((68771254, 0), (68771264, 1), (68771269, 0), (68771274, 0), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 0), (68771301, 1), (68771304, 0), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	01010010011	1	((68771254, 0), (68771264, 1), (68771269, 0), (68771274, 1), (68771278, 0), (68771284, 0), (68771287, 1), (68771297, 0), (68771301, 0), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	01010011-00	1	((68771254, 0), (68771264, 1), (68771269, 0), (68771274, 1), (68771278, 0), (68771284, 0), (68771287, 1), (68771297, 1), (68771304, 0), (68771310, 0))
CDH1_3'_124	chr16	68771254	68771310	01011011101	17	((68771254, 0), (68771264, 1), (68771269, 0), (68771274, 1), (68771278, 1), (68771284, 0), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 0), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	01011011110	1	((68771254, 0), (68771264, 1), (68771269, 0), (68771274, 1), (68771278, 1), (68771284, 0), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 1), (68771310, 0))
CDH1_3'_124	chr16	68771254	68771310	01011011111	1	((68771254, 0), (68771264, 1), (68771269, 0), (68771274, 1), (68771278, 1), (68771284, 0), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	01011100100	1	((68771254, 0), (68771264, 1), (68771269, 0), (68771274, 1), (68771278, 1), (68771284, 1), (68771287, 0), (68771297, 0), (68771301, 1), (68771304, 0), (68771310, 0))
CDH1_3'_124	chr16	68771254	68771310	010111011-1	1	((68771254, 0), (68771264, 1), (68771269, 0), (68771274, 1), (68771278, 1), (68771284, 1), (68771287, 0), (68771297, 1), (68771301, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	01011111101	1	((68771254, 0), (68771264, 1), (68771269, 0), (68771274, 1), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 0), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	01101111111	1	((68771254, 0), (68771264, 1), (68771269, 1), (68771274, 0), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	01110010101	1	((68771254, 0), (68771264, 1), (68771269, 1), (68771274, 1), (68771278, 0), (68771284, 0), (68771287, 1), (68771297, 0), (68771301, 1), (68771304, 0), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	01110111111	1	((68771254, 0), (68771264, 1), (68771269, 1), (68771274, 1), (68771278, 0), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	01111010000	1	((68771254, 0), (68771264, 1), (68771269, 1), (68771274, 1), (68771278, 1), (68771284, 0), (68771287, 1), (68771297, 0), (68771301, 0), (68771304, 0), (68771310, 0))
CDH1_3'_124	chr16	68771254	68771310	01111011111	2	((68771254, 0), (68771264, 1), (68771269, 1), (68771274, 1), (68771278, 1), (68771284, 0), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	01111100000	1	((68771254, 0), (68771264, 1), (68771269, 1), (68771274, 1), (68771278, 1), (68771284, 1), (68771287, 0), (68771297, 0), (68771301, 0), (68771304, 0), (68771310, 0))
CDH1_3'_124	chr16	68771254	68771310	01111111011	1	((68771254, 0), (68771264, 1), (68771269, 1), (68771274, 1), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 0), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	01111111100	1	((68771254, 0), (68771264, 1), (68771269, 1), (68771274, 1), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 0), (68771310, 0))
CDH1_3'_124	chr16	68771254	68771310	01111111101	1	((68771254, 0), (68771264, 1), (68771269, 1), (68771274, 1), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 0), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	01111111111	33	((68771254, 0), (68771264, 1), (68771269, 1), (68771274, 1), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	1-1111-1111	1	((68771254, 1), (68771269, 1), (68771274, 1), (68771278, 1), (68771284, 1), (68771297, 1), (68771301, 1), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	10000000000	1	((68771254, 1), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 0), (68771284, 0), (68771287, 0), (68771297, 0), (68771301, 0), (68771304, 0), (68771310, 0))
CDH1_3'_124	chr16	68771254	68771310	10000011000	1	((68771254, 1), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 0), (68771284, 0), (68771287, 1), (68771297, 1), (68771301, 0), (68771304, 0), (68771310, 0))
CDH1_3'_124	chr16	68771254	68771310	10001011110	7	((68771254, 1), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 1), (68771284, 0), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 1), (68771310, 0))
CDH1_3'_124	chr16	68771254	68771310	10001011111	2	((68771254, 1), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 1), (68771284, 0), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	10001111111	1	((68771254, 1), (68771264, 0), (68771269, 0), (68771274, 0), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	10010011111	15	((68771254, 1), (68771264, 0), (68771269, 0), (68771274, 1), (68771278, 0), (68771284, 0), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	10011011010	1	((68771254, 1), (68771264, 0), (68771269, 0), (68771274, 1), (68771278, 1), (68771284, 0), (68771287, 1), (68771297, 1), (68771301, 0), (68771304, 1), (68771310, 0))
CDH1_3'_124	chr16	68771254	68771310	10011111101	1	((68771254, 1), (68771264, 0), (68771269, 0), (68771274, 1), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 0), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	101-0011-0-	1	((68771254, 1), (68771264, 0), (68771269, 1), (68771278, 0), (68771284, 0), (68771287, 1), (68771297, 1), (68771304, 0))
CDH1_3'_124	chr16	68771254	68771310	10100100111	1	((68771254, 1), (68771264, 0), (68771269, 1), (68771274, 0), (68771278, 0), (68771284, 1), (68771287, 0), (68771297, 0), (68771301, 1), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	10100101000	1	((68771254, 1), (68771264, 0), (68771269, 1), (68771274, 0), (68771278, 0), (68771284, 1), (68771287, 0), (68771297, 1), (68771301, 0), (68771304, 0), (68771310, 0))
CDH1_3'_124	chr16	68771254	68771310	10101111110	1	((68771254, 1), (68771264, 0), (68771269, 1), (68771274, 0), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 1), (68771310, 0))
CDH1_3'_124	chr16	68771254	68771310	10110111011	9	((68771254, 1), (68771264, 0), (68771269, 1), (68771274, 1), (68771278, 0), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 0), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	10110111111	1	((68771254, 1), (68771264, 0), (68771269, 1), (68771274, 1), (68771278, 0), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	10111110111	1	((68771254, 1), (68771264, 0), (68771269, 1), (68771274, 1), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 0), (68771301, 1), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	10111111011	5	((68771254, 1), (68771264, 0), (68771269, 1), (68771274, 1), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 0), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	10111111101	2	((68771254, 1), (68771264, 0), (68771269, 1), (68771274, 1), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 0), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	10111111111	26	((68771254, 1), (68771264, 0), (68771269, 1), (68771274, 1), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	11-11101111	1	((68771254, 1), (68771264, 1), (68771274, 1), (68771278, 1), (68771284, 1), (68771287, 0), (68771297, 1), (68771301, 1), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	11-11110111	1	((68771254, 1), (68771264, 1), (68771274, 1), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 0), (68771301, 1), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	11-11111100	1	((68771254, 1), (68771264, 1), (68771274, 1), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 0), (68771310, 0))
CDH1_3'_124	chr16	68771254	68771310	11-11111101	1	((68771254, 1), (68771264, 1), (68771274, 1), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 0), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	11-11111111	1	((68771254, 1), (68771264, 1), (68771274, 1), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	11000111101	1	((68771254, 1), (68771264, 1), (68771269, 0), (68771274, 0), (68771278, 0), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 0), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	11000111111	1	((68771254, 1), (68771264, 1), (68771269, 0), (68771274, 0), (68771278, 0), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	11001011101	1	((68771254, 1), (68771264, 1), (68771269, 0), (68771274, 0), (68771278, 1), (68771284, 0), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 0), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	11001011110	3	((68771254, 1), (68771264, 1), (68771269, 0), (68771274, 0), (68771278, 1), (68771284, 0), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 1), (68771310, 0))
CDH1_3'_124	chr16	68771254	68771310	11001011111	1	((68771254, 1), (68771264, 1), (68771269, 0), (68771274, 0), (68771278, 1), (68771284, 0), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	11001111101	1	((68771254, 1), (68771264, 1), (68771269, 0), (68771274, 0), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 0), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	1100111111-	1	((68771254, 1), (68771264, 1), (68771269, 0), (68771274, 0), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 1))
CDH1_3'_124	chr16	68771254	68771310	11001111111	5	((68771254, 1), (68771264, 1), (68771269, 0), (68771274, 0), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	11011-11111	1	((68771254, 1), (68771264, 1), (68771269, 0), (68771274, 1), (68771278, 1), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	11011001111	1	((68771254, 1), (68771264, 1), (68771269, 0), (68771274, 1), (68771278, 1), (68771284, 0), (68771287, 0), (68771297, 1), (68771301, 1), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	11011010101	1	((68771254, 1), (68771264, 1), (68771269, 0), (68771274, 1), (68771278, 1), (68771284, 0), (68771287, 1), (68771297, 0), (68771301, 1), (68771304, 0), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	11011011101	1	((68771254, 1), (68771264, 1), (68771269, 0), (68771274, 1), (68771278, 1), (68771284, 0), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 0), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	11011011111	12	((68771254, 1), (68771264, 1), (68771269, 0), (68771274, 1), (68771278, 1), (68771284, 0), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	11011101111	28	((68771254, 1), (68771264, 1), (68771269, 0), (68771274, 1), (68771278, 1), (68771284, 1), (68771287, 0), (68771297, 1), (68771301, 1), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	11011111011	3	((68771254, 1), (68771264, 1), (68771269, 0), (68771274, 1), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 0), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	11011111101	2	((68771254, 1), (68771264, 1), (68771269, 0), (68771274, 1), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 0), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	11011111110	17	((68771254, 1), (68771264, 1), (68771269, 0), (68771274, 1), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 1), (68771310, 0))
CDH1_3'_124	chr16	68771254	68771310	11011111111	59	((68771254, 1), (68771264, 1), (68771269, 0), (68771274, 1), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	11101011001	1	((68771254, 1), (68771264, 1), (68771269, 1), (68771274, 0), (68771278, 1), (68771284, 0), (68771287, 1), (68771297, 1), (68771301, 0), (68771304, 0), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	11101011101	16	((68771254, 1), (68771264, 1), (68771269, 1), (68771274, 0), (68771278, 1), (68771284, 0), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 0), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	11101011111	1	((68771254, 1), (68771264, 1), (68771269, 1), (68771274, 0), (68771278, 1), (68771284, 0), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	111011-11-1	1	((68771254, 1), (68771264, 1), (68771269, 1), (68771274, 0), (68771278, 1), (68771284, 1), (68771297, 1), (68771301, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	11101110111	1	((68771254, 1), (68771264, 1), (68771269, 1), (68771274, 0), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 0), (68771301, 1), (68771304, 1), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	111011110-1	1	((68771254, 1), (68771264, 1), (68771269, 1), (68771274, 0), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 0), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	11101111001	18	((68771254, 1), (68771264, 1), (68771269, 1), (68771274, 0), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 0), (68771304, 0), (68771310, 1))
CDH1_3'_124	chr16	68771254	68771310	1110111111-	1	((68771254, 1), (68771264, 1), (68771269, 1), (68771274, 0), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 1))
CDH1_3'_124	chr16	68771254	68771310	11101111110	1	((68771254, 1), (68771264, 1), (68771269, 1), (68771274, 0), (68771278, 1), (68771284, 1), (68771287, 1), (68771297, 1), (68771301, 1), (68771304, 1), (68771310, 0))
